Province,Number_of_Cars
Adana,896419.0
Adıyaman,151123.0
Afyonkarahisar,295788.0
Aksaray,168296.0
Amasya,153419.0
Ankara,2783571.0
Antalya,1571626.0
Ardahan,20977.0
Artvin,47479.0
Aydın,624709.0
Ağrı,34565.0
Balıkesir,641764.0
Bartın,64507.0
Batman,62525.0
Bayburt,19053.0
Bilecik,88533.0
Bingöl,22768.0
Bitlis,27747.0
Bolu,145587.0
Burdur,174573.0
Bursa,1243113.0
Denizli,542606.0
Diyarbakır,171418.0
Düzce,149012.0
Edirne,196090.0
Elazığ,164687.0
Erzincan,77190.0
Erzurum,142086.0
Eskişehir,366049.0
Gaziantep,725458.0
Giresun,115779.0
Gümüşhane,30461.0
Hakkari,10857.0
Hatay,667324.0
Isparta,228806.0
Iğdır,35619.0
Kahramanmaraş,327635.0
Karabük,79895.0
Karaman,111930.0
Kars,51532.0
Kastamonu,162685.0
Kayseri,484322.0
Kilis,67015.0
Kocaeli,580110.0
Konya,928837.0
Kütahya,264345.0
Kırklareli,166092.0
Kırıkkale,80943.0
Kırşehir,83991.0
Malatya,234471.0
Manisa,789697.0
Mardin,103259.0
Mersin,836281.0
Muğla,717695.0
Muş,40232.0
Nevşehir,160819.0
Niğde,139846.0
Ordu,189835.0
Osmaniye,229225.0
Rize,99235.0
Sakarya,396822.0
Samsun,496984.0
Siirt,27971.0
Sinop,78151.0
Sivas,201888.0
Tekirdağ,354569.0
Tokat,236922.0
Trabzon,269950.0
Tunceli,12529.0
Uşak,175807.0
Van,88983.0
Yalova,91688.0
Yozgat,128999.0
Zonguldak,193108.0
Çanakkale,315420.0
Çankırı,69400.0
Çorum,212401.0
İstanbul,5840973.0
İzmir,1954408.0
Şanlıurfa,325220.0
Şırnak,37685.0
